ride_id,vehicle_type,distance_km,city,timestamp,co2_grams
R000181,electric_bike,14.58,Delhi,2024-03-23 05:10:00,306.18
R000182,electric_bike,41.45,Bangalore,2024-01-03 08:00:00,870.45
R000183,diesel_car,9.34,Mumbai,2024-01-01 09:33:00,1597.14
R000184,electric_bike,30.65,Bangalore,2024-04-18 05:22:00,643.65
R000185,petrol_car,17.76,Pune,2024-07-18 07:36:00,3409.92
R000186,diesel_car,30.81,Mumbai,2024-03-02 19:18:00,5268.51
R000187,electric_bike,48.62,Chennai,2024-01-04 23:21:00,1021.02
R000188,petrol_car,46.84,Bangalore,2024-04-17 08:36:00,8993.28
R000189,petrol_car,14.55,Mumbai,2024-03-05 08:59:00,2793.6
R000190,petrol_car,13.64,Mumbai,2024-03-28 08:41:00,2618.88
R000191,electric_bike,34.04,Pune,2024-09-13 06:38:00,714.84
R000192,diesel_car,43.29,Chennai,2024-09-11 18:25:00,7402.59
R000193,petrol_car,25.61,Bangalore,2024-02-21 03:27:00,4917.12
R000194,petrol_car,29.33,Chennai,2024-05-07 06:57:00,5631.36
R000195,bus,49.23,Bangalore,2024-12-20 12:26:00,5169.15
R000196,petrol_car,31.55,Chennai,2024-02-22 16:45:00,6057.6
R000197,petrol_car,38.8,Delhi,2024-12-13 02:39:00,7449.6
R000198,electric_bike,26.2,Pune,2024-12-01 21:22:00,550.2
R000199,diesel_car,37.34,Chennai,2024-10-17 13:56:00,6385.14
R000200,petrol_car,27.01,Delhi,2024-07-29 02:43:00,5185.92
R000201,bus,33.43,Pune,2024-10-07 15:23:00,3510.15
R000202,diesel_car,21.37,Chennai,2024-12-14 17:57:00,3654.27
R000203,diesel_car,33.45,Chennai,2024-02-22 22:51:00,5719.95
R000204,petrol_car,44.67,Bangalore,2024-12-23 07:22:00,8576.64
R000205,petrol_car,17.86,Mumbai,2024-04-08 13:05:00,3429.12
R000206,electric_bike,33.38,Chennai,2024-09-12 03:37:00,700.98
R000207,diesel_car,21.89,Chennai,2024-11-11 03:35:00,3743.19
R000208,electric_bike,13.82,Pune,2024-01-07 21:56:00,290.22
R000209,diesel_car,31.19,Pune,2024-04-19 18:15:00,5333.49
R000210,bus,20.6,Bangalore,2024-09-20 16:12:00,2163.0
R000211,bus,31.34,Bangalore,2024-01-20 10:41:00,3290.7
R000212,diesel_car,20.28,Bangalore,2024-08-30 09:38:00,3467.88
R000213,diesel_car,34.63,Bangalore,2024-12-17 10:09:00,5921.73
R000214,bus,25.23,Chennai,2024-03-04 23:08:00,2649.15
R000215,diesel_car,8.71,Chennai,2024-07-03 05:30:00,1489.41
R000216,electric_bike,22.89,Pune,2024-07-06 07:35:00,480.69
R000217,bus,34.24,Bangalore,2024-10-29 20:45:00,3595.2
R000218,electric_bike,7.26,Chennai,2024-02-10 20:48:00,152.46
R000219,bus,20.98,Mumbai,2024-06-11 15:59:00,2202.9
R000220,petrol_car,33.85,Mumbai,2024-05-03 06:08:00,6499.2
R000221,bus,42.08,Bangalore,2024-04-16 23:37:00,4418.4
R000222,bus,37.22,Chennai,2024-06-21 19:49:00,3908.1
R000223,electric_bike,15.4,Bangalore,2024-08-21 21:50:00,323.4
R000224,diesel_car,28.24,Mumbai,2024-08-26 07:49:00,4829.04
R000225,petrol_car,4.23,Bangalore,2024-09-30 11:59:00,812.16
R000226,electric_bike,3.28,Mumbai,2024-11-06 00:26:00,68.88
R000227,petrol_car,40.94,Bangalore,2024-07-17 16:07:00,7860.48
R000228,petrol_car,42.0,Mumbai,2024-03-31 00:54:00,8064.0
R000229,petrol_car,37.87,Bangalore,2024-01-31 03:46:00,7271.04
R000230,bus,44.27,Bangalore,2024-04-05 01:25:00,4648.35
R000231,bus,8.73,Delhi,2024-03-13 20:29:00,916.65
R000232,petrol_car,28.73,Bangalore,2024-08-01 13:03:00,5516.16
R000233,petrol_car,45.82,Mumbai,2024-01-24 13:30:00,8797.44
R000234,bus,22.95,Pune,2024-02-19 21:34:00,2409.75
R000235,electric_bike,14.95,Chennai,2024-08-29 03:29:00,313.95
R000236,petrol_car,32.96,Chennai,2024-01-10 05:38:00,6328.32
R000237,petrol_car,44.3,Delhi,2024-08-29 19:03:00,8505.6
R000238,electric_bike,42.4,Delhi,2024-06-27 16:15:00,890.4
R000239,diesel_car,40.67,Delhi,2024-02-27 21:28:00,6954.57
R000240,electric_bike,12.02,Delhi,2024-06-06 17:10:00,252.42
R000241,diesel_car,45.38,Delhi,2024-12-18 23:07:00,7759.98
R000242,diesel_car,31.53,Chennai,2024-04-24 12:10:00,5391.63
R000243,bus,11.76,Pune,2024-01-28 05:56:00,1234.8
R000244,diesel_car,44.53,Bangalore,2024-03-31 07:49:00,7614.63
R000245,bus,20.71,Delhi,2024-02-04 08:12:00,2174.55
R000246,petrol_car,34.8,Mumbai,2024-04-14 20:07:00,6681.6
R000247,electric_bike,5.17,Pune,2024-11-14 12:18:00,108.57
R000248,petrol_car,16.76,Mumbai,2024-12-23 05:54:00,3217.92
R000249,petrol_car,17.4,Chennai,2024-12-16 17:20:00,3340.8
R000250,petrol_car,41.77,Delhi,2024-05-31 06:45:00,8019.84
R000251,electric_bike,22.13,Pune,2024-07-25 08:20:00,464.73
R000252,diesel_car,35.47,Chennai,2024-11-10 20:38:00,6065.37
R000253,petrol_car,3.14,Pune,2024-06-15 13:11:00,602.88
R000254,petrol_car,8.97,Mumbai,2024-05-26 12:51:00,1722.24
R000255,petrol_car,49.58,Delhi,2024-01-27 14:25:00,9519.36
R000256,petrol_car,47.08,Mumbai,2024-09-24 22:11:00,9039.36
R000257,electric_bike,38.3,Mumbai,2024-11-17 15:27:00,804.3
R000258,electric_bike,16.13,Mumbai,2024-08-22 17:32:00,338.73
R000259,petrol_car,7.72,Chennai,2024-12-12 22:10:00,1482.24
R000260,electric_bike,36.01,Bangalore,2024-12-30 22:37:00,756.21
R000261,electric_bike,12.25,Delhi,2024-06-15 14:06:00,257.25
R000262,electric_bike,13.69,Pune,2024-10-14 01:25:00,287.49
R000263,petrol_car,40.25,Bangalore,2024-08-09 05:51:00,7728.0
R000264,diesel_car,12.73,Bangalore,2024-09-27 05:15:00,2176.83
R000265,electric_bike,22.12,Chennai,2024-12-08 23:42:00,464.52
R000266,petrol_car,36.34,Mumbai,2024-07-22 22:46:00,6977.28
R000267,diesel_car,16.02,Delhi,2024-12-15 10:14:00,2739.42
R000268,electric_bike,45.76,Chennai,2024-11-29 10:30:00,960.96
R000269,bus,16.29,Delhi,2024-06-06 23:53:00,1710.45
R000270,diesel_car,17.28,Bangalore,2024-07-16 23:59:00,2954.88
R000271,diesel_car,24.75,Bangalore,2024-02-08 00:08:00,4232.25
R000272,electric_bike,44.75,Delhi,2024-10-07 04:02:00,939.75
R000273,electric_bike,7.35,Pune,2024-02-14 01:17:00,154.35
R000274,diesel_car,21.19,Mumbai,2024-06-19 14:39:00,3623.49
R000275,bus,7.19,Chennai,2024-10-25 03:00:00,754.95
R000276,electric_bike,6.81,Bangalore,2024-12-16 10:50:00,143.01
R000277,petrol_car,30.58,Delhi,2024-01-27 21:51:00,5871.36
R000278,diesel_car,35.33,Pune,2024-05-29 10:12:00,6041.43
R000279,petrol_car,21.68,Pune,2024-03-23 01:49:00,4162.56
R000280,bus,49.45,Bangalore,2024-04-07 20:05:00,5192.25
R000281,petrol_car,41.18,Bangalore,2024-04-06 07:21:00,7906.56
R000282,bus,32.41,Chennai,2024-04-26 23:37:00,3403.05
R000283,electric_bike,31.29,Bangalore,2024-11-15 02:40:00,657.09
R000284,petrol_car,12.87,Bangalore,2024-07-08 07:27:00,2471.04
R000285,electric_bike,37.21,Chennai,2024-09-14 14:05:00,781.41
R000286,bus,37.37,Pune,2024-08-14 05:08:00,3923.85
R000287,petrol_car,9.91,Chennai,2024-02-28 19:48:00,1902.72
R000288,diesel_car,41.97,Pune,2024-12-25 04:50:00,7176.87
R000289,diesel_car,32.18,Chennai,2024-06-08 03:37:00,5502.78
R000290,electric_bike,48.86,Mumbai,2024-08-17 14:08:00,1026.06
R000291,petrol_car,24.43,Bangalore,2024-03-13 23:08:00,4690.56
R000292,diesel_car,21.26,Delhi,2024-09-16 19:40:00,3635.46
R000293,bus,36.87,Bangalore,2024-02-29 05:57:00,3871.35
R000294,bus,27.27,Mumbai,2024-09-07 17:58:00,2863.35
R000295,diesel_car,27.12,Pune,2024-12-11 01:18:00,4637.52
R000296,diesel_car,49.65,Delhi,2024-09-09 11:49:00,8490.15
R000297,electric_bike,23.84,Chennai,2024-12-30 09:05:00,500.64
R000298,petrol_car,21.84,Bangalore,2024-04-17 06:49:00,4193.28
R000299,petrol_car,25.35,Mumbai,2024-01-28 07:39:00,4867.2
R000300,bus,4.68,Pune,2024-07-30 07:46:00,491.4
R000301,bus,48.33,Mumbai,2024-11-30 12:40:00,5074.65
R000302,electric_bike,24.14,Chennai,2024-10-05 22:56:00,506.94
R000303,electric_bike,12.16,Bangalore,2024-08-29 08:51:00,255.36
R000304,petrol_car,32.02,Mumbai,2024-08-31 12:17:00,6147.84
R000305,petrol_car,7.08,Bangalore,2024-06-09 14:41:00,1359.36
R000306,diesel_car,33.55,Mumbai,2024-03-30 17:26:00,5737.05
R000307,petrol_car,42.29,Bangalore,2024-12-13 03:31:00,8119.68
R000308,petrol_car,27.66,Chennai,2024-11-11 05:48:00,5310.72
R000309,bus,42.05,Pune,2024-11-13 21:37:00,4415.25
R000310,bus,41.91,Delhi,2024-06-08 16:20:00,4400.55
R000311,diesel_car,4.43,Chennai,2024-08-15 23:58:00,757.53
R000312,petrol_car,34.95,Delhi,2024-08-20 07:21:00,6710.4
R000313,bus,45.67,Bangalore,2024-01-26 06:20:00,4795.35
R000314,bus,36.72,Chennai,2024-05-24 07:23:00,3855.6
R000315,bus,45.51,Bangalore,2024-06-06 23:58:00,4778.55
R000316,electric_bike,11.33,Mumbai,2024-03-20 13:56:00,237.93
R000317,diesel_car,7.45,Mumbai,2024-04-30 15:30:00,1273.95
R000318,bus,42.44,Bangalore,2024-04-01 16:49:00,4456.2
R000319,diesel_car,16.52,Chennai,2024-11-02 19:55:00,2824.92
R000320,bus,42.29,Chennai,2024-02-04 14:56:00,4440.45
R000321,electric_bike,36.9,Pune,2024-04-06 20:58:00,774.9
R000322,petrol_car,26.63,Chennai,2024-04-23 03:58:00,5112.96
R000323,diesel_car,6.69,Mumbai,2024-07-31 23:58:00,1143.99
R000324,diesel_car,47.41,Pune,2024-09-04 20:55:00,8107.11
R000325,bus,48.61,Chennai,2024-09-15 04:56:00,5104.05
R000326,bus,37.12,Mumbai,2024-09-17 13:43:00,3897.6
R000327,diesel_car,19.63,Mumbai,2024-01-18 16:13:00,3356.73
R000328,bus,33.95,Mumbai,2024-12-08 03:35:00,3564.75
R000329,diesel_car,43.07,Delhi,2024-12-15 09:31:00,7364.97
R000330,bus,4.67,Delhi,2024-01-22 05:43:00,490.35
R000331,bus,47.17,Mumbai,2024-07-06 06:55:00,4952.85
R000332,electric_bike,13.38,Delhi,2024-12-22 21:27:00,280.98
R000333,petrol_car,20.05,Chennai,2024-05-15 14:43:00,3849.6
R000334,electric_bike,4.41,Pune,2024-11-20 16:18:00,92.61
R000335,bus,11.47,Delhi,2024-03-18 00:18:00,1204.35
R000336,diesel_car,21.6,Chennai,2024-12-02 02:05:00,3693.6
R000337,electric_bike,38.03,Chennai,2024-08-29 23:13:00,798.63
R000338,electric_bike,39.5,Chennai,2024-12-03 08:44:00,829.5
R000339,electric_bike,18.01,Chennai,2024-05-21 14:19:00,378.21
R000340,electric_bike,11.41,Delhi,2024-02-13 21:23:00,239.61
R000341,petrol_car,25.74,Delhi,2024-07-11 21:42:00,4942.08
R000342,petrol_car,21.13,Bangalore,2024-12-22 16:09:00,4056.96
R000343,diesel_car,33.47,Pune,2024-07-21 02:26:00,5723.37
R000344,bus,43.9,Delhi,2024-01-23 08:12:00,4609.5
R000345,bus,23.28,Delhi,2024-08-04 19:45:00,2444.4
R000346,petrol_car,30.84,Mumbai,2024-04-10 17:57:00,5921.28
R000347,petrol_car,17.44,Delhi,2024-03-23 13:38:00,3348.48
R000348,electric_bike,49.81,Pune,2024-04-12 11:03:00,1046.01
R000349,diesel_car,49.85,Mumbai,2024-09-10 02:24:00,8524.35
R000350,bus,35.6,Bangalore,2024-11-13 03:06:00,3738.0
R000351,diesel_car,24.15,Pune,2024-04-29 00:23:00,4129.65
R000352,diesel_car,31.48,Chennai,2024-06-20 09:08:00,5383.08
R000353,electric_bike,15.56,Delhi,2024-01-21 00:41:00,326.76
R000354,petrol_car,43.53,Bangalore,2024-04-04 05:34:00,8357.76
R000355,bus,26.42,Pune,2024-05-20 15:26:00,2774.1
R000356,diesel_car,11.45,Bangalore,2024-01-28 03:30:00,1957.95
R000357,diesel_car,33.01,Mumbai,2024-08-05 23:02:00,5644.71
R000358,electric_bike,44.05,Pune,2024-09-18 17:03:00,925.05
R000359,petrol_car,41.07,Bangalore,2024-04-22 17:48:00,7885.44
R000360,diesel_car,23.07,Pune,2024-12-08 00:55:00,3944.97
R000361,electric_bike,15.0,Pune,2024-09-16 15:10:00,315.0
R000362,electric_bike,49.71,Delhi,2024-03-15 01:44:00,1043.91
R000363,petrol_car,15.11,Mumbai,2024-12-18 16:27:00,2901.12
R000364,electric_bike,16.5,Delhi,2024-02-28 21:19:00,346.5
R000365,petrol_car,48.03,Pune,2024-06-24 03:52:00,9221.76
R000366,electric_bike,32.23,Pune,2024-01-27 02:42:00,676.83
R000367,bus,47.72,Pune,2024-06-13 19:33:00,5010.6
R000368,electric_bike,45.42,Chennai,2024-06-10 04:42:00,953.82
R000369,petrol_car,33.15,Bangalore,2024-12-01 17:02:00,6364.8
R000370,bus,16.25,Delhi,2024-05-05 14:35:00,1706.25
R000371,electric_bike,29.09,Bangalore,2024-11-28 07:44:00,610.89
R000372,diesel_car,30.57,Pune,2024-02-08 00:54:00,5227.47
R000373,bus,49.4,Chennai,2024-02-04 10:23:00,5187.0
R000374,diesel_car,12.86,Bangalore,2024-06-11 12:47:00,2199.06
R000375,diesel_car,38.4,Chennai,2024-09-29 14:47:00,6566.4
R000376,bus,48.28,Delhi,2024-09-01 22:48:00,5069.4
R000377,electric_bike,7.23,Chennai,2024-05-10 05:50:00,151.83
R000378,petrol_car,40.41,Chennai,2024-06-01 18:13:00,7758.72
R000379,bus,22.63,Mumbai,2024-01-18 21:52:00,2376.15
R000380,electric_bike,32.93,Mumbai,2024-09-13 17:01:00,691.53
R000381,electric_bike,10.04,Pune,2024-01-09 17:42:00,210.84
R000382,bus,26.43,Delhi,2024-05-25 03:11:00,2775.15
R000383,electric_bike,10.22,Chennai,2024-03-31 12:46:00,214.62
R000384,petrol_car,6.95,Mumbai,2024-09-27 15:09:00,1334.4
